"","Observation Number","Cluster_Membership"
"1",1,1
"2",2,2
"3",3,1
"4",4,3
"5",5,1
"6",6,1
"7",7,1
"8",8,2
"9",9,1
"10",10,3
"11",11,3
"12",12,1
"13",13,2
"14",14,2
"15",15,3
"16",16,3
"17",17,3
"18",18,3
"19",19,3
"20",20,1
"21",21,1
"22",22,1
"23",23,3
"24",24,1
"25",25,1
"26",26,1
"27",27,4
"28",28,1
"29",29,1
"30",30,1
"31",31,1
"32",32,1
"33",33,1
"34",34,1
"35",35,1
"36",36,2
"37",37,2
"38",38,3
"39",39,3
"40",40,2
"41",41,4
"42",42,2
"43",43,2
"44",44,2
"45",45,2
"46",46,2
"47",47,3
"48",48,3
"49",49,3
"50",50,3
"51",51,3
"52",52,3
"53",53,4
"54",54,4
"55",55,4
"56",56,1
"57",57,1
"58",58,1
"59",59,1
"60",60,1
"61",61,1
"62",62,1
"63",63,1
"64",64,1
"65",65,4
"66",66,1
"67",67,1
"68",68,1
"69",69,1
"70",70,1
"71",71,1
"72",72,1
"73",73,2
"74",74,1
"75",75,1
"76",76,4
"77",77,1
"78",78,1
"79",79,1
"80",80,2
"81",81,2
"82",82,1
"83",83,2
"84",84,4
"85",85,1
"86",86,1
"87",87,2
"88",88,1
"89",89,4
"90",90,1
"91",91,1
"92",92,4
"93",93,2
"94",94,4
"95",95,1
"96",96,1
"97",97,2
"98",98,1
"99",99,1
"100",100,4
"101",101,2
"102",102,1
"103",103,1
"104",104,1
"105",105,1
"106",106,2
"107",107,1
"108",108,1
"109",109,1
"110",110,1
"111",111,2
"112",112,1
"113",113,1
"114",114,1
"115",115,1
"116",116,1
"117",117,1
"118",118,1
"119",119,1
"120",120,1
"121",121,1
"122",122,1
"123",123,1
"124",124,3
"125",125,1
"126",126,2
"127",127,2
"128",128,1
"129",129,1
"130",130,2
"131",131,1
"132",132,1
"133",133,1
"134",134,2
"135",135,1
"136",136,1
"137",137,1
"138",138,1
"139",139,1
"140",140,1
"141",141,1
"142",142,4
"143",143,1
"144",144,2
"145",145,1
"146",146,1
"147",147,1
"148",148,1
"149",149,5
"150",150,1
"151",151,4
"152",152,1
"153",153,2
"154",154,2
"155",155,1
"156",156,1
"157",157,2
"158",158,3
"159",159,1
"160",160,1
"161",161,2
"162",162,4
"163",163,4
"164",164,1
"165",165,2
"166",166,2
"167",167,5
"168",168,2
"169",169,4
"170",170,4
"171",171,1
"172",172,4
"173",173,4
"174",174,1
"175",175,5
"176",176,1
"177",177,5
"178",178,2
"179",179,3
"180",180,1
"181",181,3
"182",182,2
"183",183,1
"184",184,1
"185",185,1
"186",186,1
"187",187,1
"188",188,2
"189",189,1
"190",190,1
"191",191,2
"192",192,2
"193",193,3
"194",194,1
"195",195,4
"196",196,5
"197",197,1
"198",198,1
"199",199,1
"200",200,1
"201",201,1
"202",202,3
"203",203,1
"204",204,1
"205",205,2
"206",206,1
"207",207,1
"208",208,1
"209",209,4
"210",210,4
"211",211,1
"212",212,1
"213",213,1
"214",214,2
"215",215,1
"216",216,2
"217",217,5
"218",218,1
"219",219,2
"220",220,2
"221",221,2
"222",222,5
"223",223,2
"224",224,4
"225",225,2
"226",226,2
"227",227,4
"228",228,5
"229",229,2
"230",230,2
"231",231,2
"232",232,5
"233",233,1
"234",234,2
"235",235,2
"236",236,2
"237",237,2
"238",238,5
"239",239,2
"240",240,2
"241",241,2
"242",242,2
"243",243,2
"244",244,2
"245",245,2
"246",246,4
"247",247,2
"248",248,2
"249",249,2
"250",250,2
"251",251,3
"252",252,2
"253",253,5
"254",254,1
"255",255,2
"256",256,2
"257",257,3
"258",258,5
"259",259,2
"260",260,3
"261",261,3
"262",262,4
"263",263,2
"264",264,3
"265",265,4
"266",266,3
"267",267,1
"268",268,2
"269",269,2
"270",270,4
"271",271,3
"272",272,1
"273",273,4
"274",274,1
"275",275,1
"276",276,1
"277",277,3
"278",278,3
"279",279,4
"280",280,5
"281",281,3
"282",282,1
"283",283,3
"284",284,3
"285",285,3
"286",286,3
"287",287,3
"288",288,3
"289",289,3
"290",290,2
"291",291,3
"292",292,3
"293",293,1
"294",294,2
"295",295,3
"296",296,3
"297",297,2
"298",298,3
"299",299,3
"300",300,3
"301",301,3
"302",302,3
"303",303,1
"304",304,3
"305",305,3
"306",306,4
"307",307,3
"308",308,1
"309",309,3
"310",310,1
"311",311,2
"312",312,4
"313",313,1
"314",314,3
"315",315,3
"316",316,3
"317",317,1
"318",318,3
"319",319,2
"320",320,4
"321",321,3
"322",322,3
"323",323,3
"324",324,3
"325",325,4
"326",326,3
"327",327,2
"328",328,4
"329",329,1
"330",330,3
"331",331,2
"332",332,3
"333",333,3
"334",334,2
"335",335,2
"336",336,4
"337",337,1
"338",338,4
"339",339,4
"340",340,1
"341",341,1
"342",342,1
"343",343,1
"344",344,1
"345",345,2
"346",346,1
"347",347,4
"348",348,1
"349",349,2
"350",350,1
"351",351,1
"352",352,1
"353",353,1
"354",354,2
"355",355,1
"356",356,1
"357",357,1
"358",358,1
