"","Observation Number","Cluster_Membership"
"1",1,2
"2",2,2
"3",3,2
"4",4,2
"5",5,2
"6",6,2
"7",7,2
"8",8,2
"9",9,2
"10",10,3
"11",11,5
"12",12,5
"13",13,5
"14",14,2
"15",15,5
"16",16,5
"17",17,1
"18",18,5
"19",19,5
"20",20,5
"21",21,5
"22",22,2
"23",23,5
"24",24,2
"25",25,2
"26",26,2
"27",27,3
"28",28,2
"29",29,2
"30",30,2
"31",31,2
"32",32,5
"33",33,2
"34",34,2
"35",35,2
"36",36,1
"37",37,1
"38",38,5
"39",39,5
"40",40,3
"41",41,3
"42",42,3
"43",43,1
"44",44,1
"45",45,1
"46",46,1
"47",47,5
"48",48,5
"49",49,5
"50",50,1
"51",51,5
"52",52,5
"53",53,1
"54",54,4
"55",55,1
"56",56,2
"57",57,2
"58",58,2
"59",59,2
"60",60,2
"61",61,2
"62",62,2
"63",63,2
"64",64,2
"65",65,3
"66",66,2
"67",67,2
"68",68,5
"69",69,2
"70",70,3
"71",71,2
"72",72,2
"73",73,1
"74",74,2
"75",75,1
"76",76,3
"77",77,2
"78",78,2
"79",79,3
"80",80,2
"81",81,2
"82",82,2
"83",83,1
"84",84,3
"85",85,3
"86",86,2
"87",87,3
"88",88,2
"89",89,3
"90",90,2
"91",91,1
"92",92,3
"93",93,5
"94",94,3
"95",95,1
"96",96,2
"97",97,5
"98",98,3
"99",99,2
"100",100,3
"101",101,3
"102",102,2
"103",103,2
"104",104,2
"105",105,2
"106",106,2
"107",107,1
"108",108,2
"109",109,2
"110",110,2
"111",111,2
"112",112,2
"113",113,2
"114",114,2
"115",115,2
"116",116,2
"117",117,2
"118",118,2
"119",119,5
"120",120,2
"121",121,2
"122",122,2
"123",123,3
"124",124,5
"125",125,2
"126",126,2
"127",127,2
"128",128,2
"129",129,2
"130",130,2
"131",131,2
"132",132,2
"133",133,2
"134",134,1
"135",135,1
"136",136,2
"137",137,2
"138",138,2
"139",139,2
"140",140,2
"141",141,5
"142",142,3
"143",143,2
"144",144,2
"145",145,3
"146",146,2
"147",147,2
"148",148,2
"149",149,1
"150",150,2
"151",151,3
"152",152,5
"153",153,3
"154",154,1
"155",155,5
"156",156,5
"157",157,1
"158",158,5
"159",159,5
"160",160,3
"161",161,1
"162",162,4
"163",163,3
"164",164,1
"165",165,1
"166",166,1
"167",167,1
"168",168,1
"169",169,3
"170",170,3
"171",171,5
"172",172,3
"173",173,3
"174",174,2
"175",175,1
"176",176,3
"177",177,1
"178",178,3
"179",179,5
"180",180,2
"181",181,5
"182",182,1
"183",183,2
"184",184,2
"185",185,2
"186",186,2
"187",187,2
"188",188,1
"189",189,2
"190",190,3
"191",191,3
"192",192,1
"193",193,3
"194",194,2
"195",195,3
"196",196,1
"197",197,2
"198",198,2
"199",199,2
"200",200,2
"201",201,2
"202",202,5
"203",203,2
"204",204,2
"205",205,1
"206",206,5
"207",207,2
"208",208,2
"209",209,3
"210",210,5
"211",211,2
"212",212,1
"213",213,2
"214",214,1
"215",215,2
"216",216,1
"217",217,4
"218",218,2
"219",219,1
"220",220,5
"221",221,2
"222",222,1
"223",223,5
"224",224,4
"225",225,1
"226",226,1
"227",227,3
"228",228,1
"229",229,1
"230",230,1
"231",231,1
"232",232,1
"233",233,5
"234",234,1
"235",235,1
"236",236,1
"237",237,1
"238",238,1
"239",239,1
"240",240,1
"241",241,1
"242",242,1
"243",243,1
"244",244,5
"245",245,5
"246",246,3
"247",247,1
"248",248,1
"249",249,1
"250",250,1
"251",251,5
"252",252,2
"253",253,1
"254",254,2
"255",255,1
"256",256,1
"257",257,5
"258",258,1
"259",259,1
"260",260,5
"261",261,5
"262",262,3
"263",263,1
"264",264,5
"265",265,5
"266",266,5
"267",267,5
"268",268,5
"269",269,1
"270",270,3
"271",271,5
"272",272,5
"273",273,3
"274",274,2
"275",275,3
"276",276,2
"277",277,5
"278",278,5
"279",279,3
"280",280,1
"281",281,5
"282",282,2
"283",283,5
"284",284,5
"285",285,5
"286",286,5
"287",287,5
"288",288,5
"289",289,5
"290",290,1
"291",291,5
"292",292,5
"293",293,5
"294",294,5
"295",295,5
"296",296,5
"297",297,5
"298",298,5
"299",299,5
"300",300,5
"301",301,5
"302",302,5
"303",303,5
"304",304,5
"305",305,5
"306",306,3
"307",307,5
"308",308,3
"309",309,5
"310",310,2
"311",311,5
"312",312,3
"313",313,5
"314",314,5
"315",315,5
"316",316,5
"317",317,2
"318",318,1
"319",319,2
"320",320,3
"321",321,5
"322",322,5
"323",323,1
"324",324,5
"325",325,4
"326",326,5
"327",327,5
"328",328,3
"329",329,2
"330",330,5
"331",331,5
"332",332,1
"333",333,5
"334",334,5
"335",335,5
"336",336,3
"337",337,5
"338",338,3
"339",339,3
"340",340,5
"341",341,2
"342",342,2
"343",343,2
"344",344,3
"345",345,2
"346",346,2
"347",347,1
"348",348,3
"349",349,2
"350",350,2
"351",351,2
"352",352,2
"353",353,2
"354",354,2
"355",355,2
"356",356,2
"357",357,2
"358",358,2
"359",359,2
"360",360,3
"361",361,2
"362",362,2
"363",363,2
"364",364,3
"365",365,3
"366",366,3
"367",367,2
"368",368,3
"369",369,2
"370",370,2
"371",371,2
"372",372,2
"373",373,3
"374",374,1
"375",375,3
"376",376,2
"377",377,3
"378",378,3
"379",379,3
"380",380,2
"381",381,2
"382",382,2
"383",383,2
"384",384,2
"385",385,2
"386",386,1
"387",387,5
"388",388,3
"389",389,2
"390",390,1
"391",391,2
"392",392,2
"393",393,2
"394",394,2
"395",395,2
"396",396,2
"397",397,2
"398",398,2
"399",399,2
"400",400,5
"401",401,2
"402",402,2
"403",403,2
"404",404,2
"405",405,3
"406",406,3
"407",407,2
"408",408,5
"409",409,1
