"","Population","Seg.1","Seg.2","Seg.3","Seg.4","Seg.5"
"Q1.1",4.03,4.17,4.2,4.05,3.73,3.83
"Q1.2",2.89,2.43,2.74,3.98,2.9,3.04
"Q1.3",3.12,3.71,3.03,3.78,2.71,2.37
"Q1.4",3.89,4.25,3.98,3.92,3.56,3.57
"Q1.5",3.55,4.04,3.56,3.86,3.24,2.93
"Q1.6",3.95,4.44,4,4.1,3.57,3.51
"Q1.7",3.67,4.31,3.66,4.01,3.29,2.94
"Q1.8",3.74,3.48,3.85,3.98,3.59,3.94
"Q1.9",2.89,3.49,2.73,3.75,2.58,1.98
"Q1.10",3.37,3.29,3.28,3.9,3.47,3.08
"Q1.11",3.46,3.53,3.98,3.79,2.08,4.06
"Q1.12",2.86,2.14,2.74,3.95,2.85,3.42
"Q1.13",3.02,3.68,2.87,3.87,2.7,2.06
"Q1.14",3.25,3.86,3.19,3.89,2.79,2.51
"Q1.15",3.63,4.14,3.67,3.98,3.16,3.11
"Q1.16",3.1,3.59,3.2,3.79,2.43,2.52
"Q1.17",3.08,3.47,3.14,3.75,2.52,2.63
"Q1.18",4.12,4.52,4.17,4.1,3.82,3.84
"Q1.19",4.2,4.55,4.28,4.04,3.87,4.09
"Q1.20",3.16,3.64,3.23,3.77,2.57,2.59
"Q1.21",4.25,4.62,4.32,4.09,3.96,4.06
"Q1.22",4.01,4.4,4.08,4.04,3.64,3.74
"Q1.23",3.56,4.12,3.69,3.88,3,2.94
"Q1.24",4.11,4.54,4.16,4.02,3.83,3.78
"Q1.25",3.79,4.27,3.87,4.09,3.24,3.42
"Q1.26",2.95,3.68,2.81,3.9,2.49,1.94
"Q1.27",3.16,3.85,3.14,4.07,2.52,2.25
"Q1.28",3.31,3.9,3.32,3.95,2.79,2.55
"Q1.29",4.03,4.35,4.07,4.07,3.7,3.9
"Q2",0.9,0.93,0.91,1.05,0.77,0.92
"Q2.Cluster",0.74,0.76,0.77,0.73,0.65,0.81
"Q3",4.15,4.34,4.14,4.38,4.02,3.88
"Q4",3.92,4.4,3.67,4.54,3.9,3.16
"Q5",3.25,4.03,3.05,4.18,2.78,2.35
"Q6",22.83,25.14,22.19,23.4,22.75,20.07
"Q7.1",2.23,2.1,2.21,2.94,2,2.28
"Q7.2",4,4.22,4,3.83,3.95,3.88
"Q7.3",3.8,4.01,3.85,3.81,3.68,3.52
"Q7.4",3.67,3.89,3.69,3.83,3.53,3.37
"Q8",2.31,2.53,2.46,2.17,1.95,2.27
"Q9.1",3.57,3.53,3.7,3.76,3.23,3.75
"Q9.2",3.41,3.66,3.38,3.72,3.2,3.11
"Q9.3",3.72,3.99,3.66,3.85,3.68,3.35
"Q9.4",3.19,3.43,3.16,3.67,3.05,2.68
"Q9.5",3.51,3.85,3.45,3.7,3.47,2.93
"Q10",46.25,53.75,48.54,42.2,41.96,38.15
"Q11",1.45,1.49,1.41,1.37,1.57,1.35
"Q12",13.42,14.04,13.34,12.8,13.56,12.88
"Q13",2.08,2.21,1.99,2.4,2.09,1.8
"Q14",2.27,2.06,2.32,1.74,2.45,2.65
"Q15",2.54,2.36,2.66,1.77,2.67,3.06
"Q16",24.77,24.76,24.3,22,26.38,25.75
"Q16.1",3.66,3.78,3.71,3.95,3.44,3.41
"Q16.2",3.56,3.78,3.53,3.94,3.3,3.34
"Q16.3",3.72,3.98,3.71,3.99,3.43,3.51
"Q16.4",3.76,4.06,3.74,3.98,3.46,3.59
"Q16.5",3.71,3.92,3.71,3.98,3.47,3.48
"Q16.6",3.82,4.11,3.81,4.1,3.55,3.56
"Q16.7",3.91,4.16,3.91,4.15,3.65,3.67
"Q16.8",3.91,4.12,3.91,4.08,3.66,3.79
"Q16.9",3.91,4.11,3.92,4.04,3.71,3.77
"Q16.10",3.83,4.1,3.84,3.81,3.64,3.69
"Q16.11",3.65,3.84,3.62,4.01,3.45,3.41
"Q16.12",3.56,3.9,3.54,3.6,3.45,3.17
"Q16.13",3.66,3.97,3.62,3.99,3.45,3.31
"Q16.14",3.75,4.1,3.71,3.99,3.49,3.46
"Q16.15",3.88,4.2,3.88,4,3.63,3.65
"Q16.16",3.67,4,3.62,3.97,3.45,3.31
"Q16.17",3.85,4.11,3.84,4.02,3.6,3.69
"Q16.18",3.88,4.11,3.88,4.04,3.65,3.74
"Q16.19",3.89,4.15,3.9,4,3.63,3.74
"Q16.20",3.97,4.22,3.99,4.05,3.74,3.82
"Q16.21",3.91,4.16,3.9,4.03,3.69,3.82
"Q16.22",3.93,4.11,3.96,4.02,3.67,3.91
"Q16.23",3.99,4.22,4.01,4.06,3.75,3.88
"Q16.24",3.31,3.29,3.27,3.83,3.17,3.23
"Q16.25",3.65,3.94,3.66,3.94,3.34,3.34
"Q16.26",3.9,4.15,3.9,4.05,3.66,3.72
"Q16.27",3.63,3.91,3.6,4,3.37,3.31
"Q17",0.33,0.46,0.36,0.36,0.19,0.28
"Q18",0.5,0.43,0.53,0.31,0.55,0.62
